user,timestamp,comment
CobrinoHS,1611759956.0,"Well shit, guess you were wrong and I was wrong for selling"
deleted,1611761190.0,[removed]
deleted,1611761977.0,[removed]
Disunity384,1611763031.0,How do you feel about this comment now
deleted,1611763146.0,[removed]
sdxt11,1611764000.0,Did you watch the demo bro? I don’t care about the price action ... but it was something
deleted,1611764180.0,[removed]
MaxAlpha100,1611764816.0,SRNE - looking like lift off.  30% stock short. Two Analysts recommendations for $30. Waiting for FDA approval for 15 min Covid Test. A whole arsenal of medicines in development.  Time to  put on some short shorts on those shorties
deleted,1611765810.0,[removed]
bulaien88,1611766097.0,ERIC become the next target?
lilcosco,1611768103.0,NEVER DOUBT THE NOK
chewks,1611768258.0,"I did it kitty, made 65k usd today from my GameStop calls..... might take a break for a bit now."
Phfor3,1611768301.0,How we doing on NOK
skykitty89,1611768402.0,ARE YOU FUCKING KIDDING ME?? Congrats! I made 200 bucks. 2021 has been awful lol
chewks,1611768945.0,"thanks! 2020 was a pretty rough year for me, especially after the september crash... i was down a lot all time (weed stocks destroyed me too before Canadian legalization...) but now i made it all back and profited some too! i might create a post later today. may gains be with you as well!"
Phfor3,1611768976.0,Missed memo on EXPR?
Russki_Bot,1611769039.0,"HAHAHAHA

Well its 330 now fam!"
brusk80,1611769172.0,$VRM
George_Rockwell,1611769900.0,How's that working out for you today? https://twitter.com/zerohedge/status/1354470379012706306?s=19
olli_bombastico,1611770741.0,"Known issues with incresed volume and deliberate restrictions are two different things,

However I'm available to buy in chunks. Heard people are having hard time purchasing only handful of stocks."
Zestyclose_Neat_7394,1611770942.0,"Came back here fo thank you brotha, was gonna sell when i was down but i held cause of ya, BB to the 🌝"
sad_pickle1,1611771040.0,"I got your back homie, remember this: don’t panic sell and always diamond hand you’ll come on top if you believe and manifest"
deleted,1611771076.0,[removed]
pcolanzi93,1611771577.0,AMC is what?
deleted,1611774363.0,[deleted]
roychr,1611775349.0,1B volume $AMC GG
IlliniTrader,1611776283.0,Maybe listen next time and get into the rocket ship when I say so.
Beautiful-Pace,1611776411.0,we called it
deleted,1611778724.0,[removed]
spanky34,1611779742.0,Womp
deleted,1611779985.0,[removed]
Sparky-036,1611782936.0,Should have listened!
Sparky-036,1611783072.0,"Hold the line in AMC, time to add your lunch money to the pot"
sneeeks,1611783202.0,No I never was in. You?
UpbearerBullfighter,1611783363.0,So crazy what has happened since
deleted,1611784065.0,[deleted]
deleted,1611784096.0,[removed]
deleted,1611784279.0,[removed]
sneeeks,1611784768.0,Yea I was wrong.. unbelievable
deleted,1611785162.0,[removed]
deleted,1611785415.0,[deleted]
ScaryTerry4201,1611785653.0,Good shittt it went nuts
deleted,1611786309.0,[removed]
deleted,1611787778.0,[removed]
deleted,1611790308.0,[removed]
deleted,1611800149.0,[deleted]
lastfuckleft,1611800698.0,GOLDMAN SACHS WITH THE MACHINE GUN DOWNVOTES
lastfuckleft,1611800793.0,/u/Phfor3 is a PLANT
deleted,1611801080.0,[removed]
deleted,1611813754.0,[removed]
deleted,1611814280.0,[removed]
hereforthereads123,1611829578.0,"You are a degenerate gambler, no better than Vegas. You are a mouse looking for cheese. Now, did you ever get in or did you get pussy hands when you couldn't calculate buying power?"
deleted,1611849149.0,[removed]
Oregonian_male,1611850555.0,Robinhood dose not show up game stop when you search for it fuck this company
deleted,1611851283.0,[removed]
deleted,1611851382.0,[removed]
deleted,1611851458.0,[removed]
deleted,1611851508.0,[removed]
deleted,1611851538.0,[removed]
deleted,1611852491.0,[removed]
DarkScottishAle,1611857537.0,Time to move them gains back over to Daddy Musk to take care of them.
OPINION_IS_UNPOPULAR,1611857900.0,"Due to performance issues, we're locking this thread."
